y_i,z_i
0.40851873,1
4.9245377,2
2.952793,3
-1.0909591,0
-0.2209782,0
2.761239,1
0.8757094,3
4.2070575,2
2.8927488,3
0.9160625,1
2.0175085,3
1.7895193,1
2.7644405,3
0.4312231,1
1.6222701,1
1.9414096,1
2.7929459,3
-1.7023077,0
-1.418021,0
3.0149312,1
1.2666941,3
2.2108731,3
5.097116,2
-0.88241833,0
2.614232,1
-1.496468,0
-2.199142,0
1.6519362,1
-0.8452492,0
5.552712,2
2.8159199,3
-0.57464147,0
4.520772,2
2.5820277,3
-0.7386433,0
-0.33747357,0
1.951415,3
3.726255,2
0.49975872,3
2.1197686,3
2.937585,3
-1.3129528,0
1.9226811,1
1.0400355,1
4.562693,2
-0.5583402,0
-1.2866359,0
3.3193498,1
-1.3446401,0
4.111577,2
0.47385365,1
2.3683605,3
1.5506792,3
0.95917237,3
1.8329778,1
1.5311376,1
1.3625679,1
4.1028275,2
3.2800736,3
2.0608342,1
2.4506729,3
-0.94535685,0
2.5171,3
2.0835311,1
2.2455258,2
-0.4920674,0
1.6809433,1
-0.6612011,0
-0.44499975,0
-0.6652815,0
3.5958369,2
3.3272278,3
3.3024747,2
5.3687506,2
2.1738858,1
-2.6142359,0
1.3918861,1
4.1828575,2
1.1984546,1
-0.687899,1
1.427511,3
1.8919392,1
1.4597163,1
4.6778,2
3.7753553,2
-1.4010316,0
-1.4206994,0
2.9548879,3
0.12929457,1
2.211346,3
1.2988101,1
2.3952215,3
2.7275133,1
3.281486,3
1.7539983,3
-2.150741,0
0.28308678,1
4.9296923,2
3.0740597,3
-0.35115898,0
-1.0664874,0
1.9498436,1
-0.23225266,0
2.0224884,1
-0.98163116,0
1.4994503,1
1.2359693,3
2.0279734,3
-1.9527284,0
0.47236586,1
1.4264127,1
0.99271613,1
4.125836,2
3.4824712,3
2.3631556,3
-2.4203386,0
3.4354506,2
-1.635303,0
2.8002896,3
1.0562133,1
2.2477546,3
3.8603785,2
1.7111279,3
1.2550732,1
-1.0280813,0
-0.8021257,0
2.7439966,3
3.857749,2
1.9246423,3
-0.52437437,0
2.392084,3
2.583246,3
1.9383755,1
0.43868268,1
0.8001957,1
3.8423555,2
-0.24956518,0
1.6504796,1
4.106942,2
1.3868179,3
0.29556584,3
-2.4293463,0
2.4598567,3
2.8954306,3
-1.9801188,0
-2.3188148,0
0.17473459,1
0.95352143,1
-0.553002,0
1.5781567,1
0.14696205,0
3.0890398,2
3.6328995,2
1.5366324,1
2.2827086,3
1.3849778,3
0.36490995,1
1.8295714,3
1.9086411,3
3.9696045,2
4.6331167,2
0.2535209,1
4.1948986,2
3.9589214,2
4.470637,2
1.4538614,3
1.5376762,3
1.2206254,1
2.8764458,3
1.4394819,1
